id;d;s;ds;t;wSW;wR;kSW;SW;kR;R;ISBN;not_ISBN;OC;kPt;Pt;wPt;M;claster
1;0.0;0.008814220648075606;0.9349649146431869;0.9688444485866393;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.125;0.0;0;0;0;0.125;0
2;0.0;0.004498966765755894;0.8220092412650971;0.9147321750792234;0.25;0.0;0.125;0.07936507936507936;0.0;0.0;0.0;0.0;0.0;0;0;0;0.0;0
3;0.0;0.012690915801053642;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;0;0;0.0;0
4;0.0;0.012690915801053642;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;0;0;0.0;0
5;0.0;0.011364677985561157;0.9777511559282894;0.9893415218849029;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.041666666625;0.0;0;0;0;0.041666666625;0
6;0.0;0.0006447875942507428;0.7330138629245155;0.8720982626188352;0.0;1.0;0.0;0.0;0.06666666666666667;0.14634146342177276;0.0;0.0;0.0;0;0;0;0.0;0
7;0.0;0.009970427974402389;0.9543613445460473;0.978136455190564;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.041666666625;0.0;0;0;0;0.041666666625;0
8;0.0;0.006760066638454857;0.8712989896482636;0.9383448035188231;0.0;0.225;0.0;0.0;0.13333333333333333;0.06585365853979774;0.0;0.0;0.0;0;0;0;0.0;0
9;0.0;0.0032219004482935344;0.808697967613419;0.9083553077748144;0.0;0.5;0.0;0.0;0.06666666666666667;0.07317073171088638;0.0;0.0;0.0;0;0;0;0.0;0
10;0.0;0.0043121331155166805;0.7512693255168444;0.8808436805173824;0.333333333;0.0;0.25;0.21164021174603176;0.0;0.0;0.0;0.0;0.0;0;0;0;0.0;0
11;0.0;0.01003844017006867;0.9555023098028395;0.9786830437698059;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.041666666625;0.0;0;0;0;0.041666666625;0
12;0.0;0.0;0.7330138629245155;0.8720982626188352;0.333333333;0.0;0.125;0.10582010571428573;0.0;0.0;0.0;0.0;0.0;0;0;0;0.0;0
13;0.0;0.012175965215839586;0.702550060788944;0.8575043464304715;0.216666667;0.25;0.375;0.20634920634920637;0.3333333333333333;0.18292682927721596;0.0;0.0;0.0;0;0;0;0.0;0
14;0.03333333333333333;0.026293354934309916;1.0;0.9495456657273511;0.0;0.0;0.0;0.0;0.0;0.0;0.2;0.0;0.0;0;0;0;0.05;0
15;0.03333333333333333;0.026293354934309916;1.0;0.9495456657273511;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;0;0;0.0;0
16;0.03333333333333333;0.024878329863453168;0.9260653774252504;0.9141267230679516;0.0;0.225;0.0;0.0;0.13333333333333333;0.06585365853979774;0.0;0.375;0.0;0;0;0;0.375;2
17;0.03333333333333333;0.01748168764089132;0.8231502085756288;0.8648244293858164;0.25;0.0;0.125;0.07936507936507936;0.0;0.0;0.0;0.166666666625;0.0;0;0;0;0.166666666625;0
