id;d;s;ds;t;wSW;wR;kSW;SW;kR;R;ISBN;not_ISBN;OC;kPt;Pt;wPt;claster
105;3;3413.348502;0.62462037;-12.79611111;0.304166667;0.401851852;8;2.433333333;9;3.616666667;0.0;0.0;0.0;0;0;0;0
117;3;3099.544937;0.79;116.2;0.5;0.5;1;0.5;2;1.0;0.666666667;1.0;0.0;0;0;0;0
135;3;5014.220705;0.913333333;112.4;0.166666667;0.0;1;0.166666667;0;0.0;0.0;0.0;0.0;0;0;0;-1
136;3;3862.817596;0.875777778;183.1066667;0.166666667;0.288888889;1;0.166666667;6;1.733333333;0.25;0.0;0.0;0;0;0;0
137;3;3054.512704;0.872777778;180.7666667;0.25;0.291666667;1;0.25;2;0.583333333;0.0;0.333333333;0.0;0;0;0;0
141;3;3234.167615;0.738259259;75.84222222;0.333333333;0.401851852;1;0.333333333;9;3.616666667;0.0;2.0;0.0;0;0;0;0
145;3;5319.96587;0.613333333;36.0;0.583333333;0.75;3;1.75;4;3.0;0.0;0.0;0.0;0;0;0;-1
153;3;4013.083049;0.731964286;70.93214286;0.321428571;0.3125;7;2.25;4;1.25;0.0;0.0;0.0;0;0;0;0
157;3;3078.213879;0.805;227.9;0.25;1.0;1;0.25;1;1.0;0.2;2.333333333;0.0;0;0;0;-1
160;3;3586.367084;0.513083333;100.205;0.39375;0.372222222;8;3.15;15;5.583333333;0.25;1.333333333;0.0;0;0;0;-1
163;3;3071.103527;0.872222222;280.3333333;0.166666667;0.333333333;1;0.166666667;3;1.0;0.45;0.0;0.0;0;0;0;0
174;3;3248.38832;0.744925926;181.0422222;0.25;0.401851852;2;0.5;9;3.616666667;0.75;0.0;0.0;0;0;0;0
202;4;8158.323853;0.79;36.0;0.416666667;0.306666667;2;0.833333333;5;1.533333333;0.0;0.0;0.0;0;0;0;0
203;4;5168.278347;0.767777778;36.0;0.361111111;0.333333333;3;1.083333333;4;1.333333333;0.0;0.0;0.0;0;0;0;0
204;4;3942.927569;0.780769841;109.0004762;0.291666667;0.35952381;2;0.583333333;7;2.516666667;0.0;0.0;0.0;0;0;0;0
207;4;3184.86917;0.663333333;117.4;0.166666667;1.0;1;0.166666667;3;3.0;0.0;2.0;0.0;0;0;0;-1
209;4;3902.161547;0.730222222;69.57333333;0.297222222;0.0;6;1.783333333;0;0.0;0.2;0.0;0.0;0;0;0;-1
210;4;3277.303754;0.7075;51.85;0.375;0.375;6;2.25;4;1.5;0.0;0.833333333;0.0;0;0;0;0
214;4;3165.434206;0.765527778;197.1116667;0.361111111;0.320833333;3;1.083333333;4;1.283333333;0.0;2.5;0.0;0;0;0;0
215;4;1853.296928;0.63;291.4;0.333333333;0.916666667;1;0.333333333;6;5.5;1.0;0.0;0.0;0;0;0;-1
219;4;3431.361396;0.553672439;131.8645022;0.5;0.621212121;1;0.5;11;6.833333333;0.0;5.0;0.0;0;0;0;-1
224;4;3090.064467;0.845555556;159.5333333;0.166666667;0.444444444;1;0.166666667;3;1.333333333;0.45;0.0;0.0;0;0;0;0
225;4;3277.777778;0.673333333;125.2;0.34;0.466666667;5;1.7;5;2.333333333;0.2;0.65;0.0;0;0;0;0
232;4;5091.012514;0.824333333;36.0;0.2;0.5;2;0.4;2;1.0;0.0;0.0;0.0;0;0;0;0
235;4;4163.348502;0.618092593;82.11222222;0.304166667;0.401851852;8;2.433333333;9;3.616666667;0.25;0.0;0.0;0;0;0;0
