wSW;wR;wPt;SW;R;Pt;kSW;kR
-0.375;-0.40000000050000006;0.0;-0.11904761904761904;-0.09146341456543725;0.0;-0.1875;-0.13333333333333336
0.375;0.8500000005;0.0;0.11904761904761904;0.16463414627632364;0.0;0.1875;0.26666666666666666
-0.375;-0.40000000050000006;0.0;-0.375;-0.6249999995;0.0;-1.5;-2.0
0.375;0.8500000005;0.0;0.375;1.1249999995;0.0;1.5;4.0
