wSW;wR;wPt;SW;R;Pt;kSW;kR;claster;SumID;F;id
0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0;16
0.333333333;0.0;0;0.10582010571428573;0.0;0;0.125;0.0;0;0.5641534387142857;0;28
0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0;44
0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0;50
0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0;51
0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0;57
0.0;0.666666667;0;0.0;0.19512195118024986;0;0.0;0.0;-1;0.8617886181802499;0;58
0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0;72
0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0;73
0.333333333;0.0;0;0.10582010571428573;0.0;0;0.125;0.0;0;0.5641534387142857;0;74
0.333333333;0.0;0;0.10582010571428573;0.0;0;0.125;0.0;0;0.5641534387142857;0;80
0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0;84
0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0;85
0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0;91
0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0;92
0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0;101
0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0;106
0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0;110
0.666666667;0.0;0;0.4232804231746032;0.0;0;0.25;0.0;0;1.3399470901746031;0;119
0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0;124
0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0;128
0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0;142
0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0;151
0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0;159
0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0;161
0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0;168
0.0;0.75;0;0.0;0.21951219513265915;0;0.0;0.0;-1;0.9695121951326592;0;169
0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0;184
0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0;185
0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0;189
0.5;0.0;0;0.15873015873015872;0.0;0;0.125;0.0;0;0.7837301587301587;0;192
0.0;0.0;0;0.0;0.14634146342177276;0;0.0;0.0;0;0.14634146342177276;0;194
0.333333333;0.0;0;0.10582010571428573;0.19512195118024986;0;0.125;0.2;0;0.9592753898945355;0;212
0.0;0.0;0;0.0;0.5121951219762046;0;0.0;0.4;-1;0.9121951219762047;0;228
0.333333333;0.0;0;0.31746031746031744;0.0;0;0.375;0.0;0;1.0257936504603173;0;229
0.25;0.0;0;0.07936507936507936;0.0;0;0.125;0.0;0;0.45436507936507936;0;233
