id;d;s;ds;t;wSW;wR;kSW;SW;kR;R;ISBN;not_ISBN;OC;kPt;Pt;wPt;claster
1;1;871.5;0.968333333;755.3;0.0;0.0;0;0.0;0;0.0;0.0;1.0;0.0;0;0;0;0
2;1;839.7758817;0.913333333;712.4;0.25;0.0;1;0.25;0;0.0;0.0;0.0;0.0;0;0;0;0
3;1;900.0;1.0;780.0;0.0;0.0;0;0.0;0;0.0;0.0;0.0;0.0;0;0;0;0
4;1;900.0;1.0;780.0;0.0;0.0;0;0.0;0;0.0;0.0;0.0;0.0;0;0;0;0
5;1;890.25;0.989166667;771.55;0.0;0.0;0;0.0;0;0.0;0.0;0.333333333;0.0;0;0;0;0
6;1;811.4414107;0.87;678.6;0.0;1.0;0;0.0;1;1.0;0.0;0.0;0.0;0;0;0;-1
7;1;880.0;0.977777778;762.6666667;0.0;0.0;0;0.0;0;0.0;0.0;0.333333333;0.0;0;0;0;0
8;1;856.3986348;0.937333333;731.12;0.0;0.225;0;0.0;2;0.45;0.0;0.0;0.0;0;0;0;0
9;1;830.387372;0.906851852;707.3444444;0.0;0.5;0;0.0;1;0.5;0.0;0.0;0.0;0;0;0;0
10;1;838.4023512;0.878888889;685.5333333;0.333333333;0.0;2;0.666666667;0;0.0;0.0;0.0;0.0;0;0;0;0
11;1;880.5;0.978333333;763.1;0.0;0.0;0;0.0;0;0.0;0.0;0.333333333;0.0;0;0;0;0
12;1;806.7011756;0.87;678.6;0.333333333;0.0;1;0.333333333;0;0.0;0.0;0.0;0.0;0;0;0;0
13;1;896.2142776;0.855166667;667.03;0.216666667;0.25;3;0.65;5;1.25;0.0;0.0;0.0;0;0;0;0
14;2;1000.0;1.0;740.0;0.0;0.0;0;0.0;0;0.0;0.2;0.0;0.0;0;0;0;0
15;2;1000.0;1.0;740.0;0.0;0.0;0;0.0;0;0.0;0.0;0.0;0.0;0;0;0;0
17;2;935.2199469;0.913888889;672.8333333;0.25;0.0;1;0.25;0;0.0;;1.333333333;0.0;0;0;0;0
18;2;1000.0;1.0;740.0;0.0;0.0;0;0.0;0;0.0;0.0;0.0;0.0;0;0;0;0
19;2;929.5972696;0.904;665.12;0.166666667;0.2;1;0.166666667;1;0.2;0.0;0.0;0.0;0;0;0;0
20;2;989.1666667;0.989166667;731.55;0.0;0.0;0;0.0;0;0.0;0.25;0.0;0.0;0;0;0;0
21;2;935.9414107;0.9075;667.85;0.0;0.5;0;0.0;1;0.5;0.0;0.0;0.0;0;0;0;0
22;2;956.6666667;0.956666667;706.2;0.0;0.0;0;0.0;0;0.0;0.0;0.0;0.0;0;0;0;0
23;2;1000.0;1.0;740.0;0.0;0.0;0;0.0;0;0.0;0.0;0.0;0.0;0;0;0;0
24;2;959.0690178;0.911666667;671.1;0.0;0.416666667;0;0.0;2;0.833333333;0.0;0.0;0.0;0;0;0;0
25;2;984.4444444;0.984444444;727.8666667;0.0;0.0;0;0.0;0;0.0;0.0;0.0;0.0;0;0;0;0
26;2;956.6666667;0.956666667;706.2;0.0;0.0;0;0.0;0;0.0;0.0;0.0;0.0;0;0;0;0
27;2;1000.0;1.0;740.0;0.0;0.0;0;0.0;0;0.0;0.0;0.0;0.0;0;0;0;0
29;2;1000.0;1.0;740.0;0.0;0.0;0;0.0;0;0.0;0.0;0.0;0.0;0;0;0;0
30;2;963.3333333;0.963333333;711.4;0.0;0.0;0;0.0;0;0.0;0.0;0.0;0.0;0;0;0;0
31;2;941.774744;0.913333333;672.4;0.0;0.5;0;0.0;1;0.5;0.0;0.0;0.0;0;0;0;0
32;2;960.0648464;0.943;695.54;0.2;0.0;1;0.2;0;0.0;0.0;0.5;0.0;0;0;0;0
33;2;1000.0;1.0;740.0;0.0;0.0;0;0.0;0;0.0;0.0;0.0;0.0;0;0;0;0
34;2;1000.0;1.0;740.0;0.0;0.0;0;0.0;0;0.0;0.0;0.0;0.0;0;0;0;0
35;2;958.8632916;0.8925;656.15;0.0;0.388888889;0;0.0;3;1.166666667;0.0;0.7;0.0;0;0;0;0
36;2;953.4053849;0.934444444;688.8666667;0.0;0.333333333;0;0.0;1;0.333333333;0.0;1.0;0.0;0;0;0;0
37;2;1000.0;1.0;740.0;0.0;0.0;0;0.0;0;0.0;0.0;0.0;0.0;0;0;0;0
38;2;1000.0;1.0;740.0;0.0;0.0;0;0.0;0;0.0;0.0;0.0;0.0;0;0;0;0
39;3;1569.776564;0.974;659.72;0.0;0.2;0;0.0;1;0.2;0.0;0.0;0.0;0;0;0;0
40;3;1576.888889;0.985555556;668.7333333;0.0;0.0;0;0.0;0;0.0;0.0;0.0;0.0;0;0;0;0
41;3;1564.444444;0.977777778;662.6666667;0.0;0.0;0;0.0;0;0.0;0.333333333;0.0;0.0;0;0;0;0
42;3;1391.544937;0.8075;529.85;0.5;0.25;2;1.0;1;0.25;0.0;0.0;0.0;0;0;0;0
43;3;1451.845582;0.870666667;579.12;0.333333333;0.266666667;1;0.333333333;2;0.533333333;0.0;0.0;0.0;0;0;0;0
45;3;1465.997725;0.902916667;604.275;0.25;0.0;1;0.25;0;0.0;0.0;0.0;0.0;0;0;0;0
46;3;1578.666667;0.986666667;669.6;0.0;0.0;0;0.0;0;0.0;0.0;0.0;0.0;0;0;0;0
47;3;1470.213121;0.865555556;575.1333333;0.0;0.75;0;0.0;2;1.5;0.0;0.0;0.0;0;0;0;0
48;3;1576.888889;0.985555556;668.7333333;0.0;0.0;0;0.0;0;0.0;0.0;0.0;0.0;0;0;0;0
49;3;1424.87372;0.801666667;525.3;0.0;0.833333333;0;0.0;3;2.5;0.0;0.0;0.0;0;0;0;0
52;3;1452.878271;0.845833333;559.75;0.0;0.583333333;0;0.0;3;1.75;0.0;0.0;0.0;0;0;0;0
53;3;1549.333333;0.968333333;655.3;0.0;0.0;0;0.0;0;0.0;0.0;0.0;0.0;0;0;0;0
54;3;1549.333333;0.968333333;655.3;0.0;0.0;0;0.0;0;0.0;0.0;0.0;0.0;0;0;0;0
55;3;1468.082063;0.877555556;584.4933333;0.225;0.225;2;0.45;2;0.45;0.0;0.0;0.0;0;0;0;0
56;3;1494.575502;0.920777778;618.2066667;0.25;0.0;1;0.25;0;0.0;0.0;0.0;0.0;0;0;0;0
59;3;1450.753735;0.896055556;598.9233333;0.2;0.0;1;0.2;0;0.0;0.0;0.0;0.0;0;0;0;0
60;3;1509.094274;0.931333333;626.44;0.0;0.333333333;0;0.0;1;0.333333333;0.0;0.0;0.0;0;0;0;0
61;3;1557.333333;0.973333333;659.2;0.0;0.0;0;0.0;0;0.0;0.0;0.0;0.0;0;0;0;0
62;3;1544.887372;0.956666667;646.2;0.0;0.25;0;0.0;1;0.25;0.0;0.0;0.0;0;0;0;0
63;3;1483.99818;0.916833333;615.13;0.2;0.0;1;0.2;0;0.0;0.0;0.0;0.0;0;0;0;0
64;3;1374.209632;0.785111111;512.3866667;0.25;0.566666667;1;0.25;3;1.7;0.0;0.5;0.0;0;0;0;0
65;3;1541.333333;0.963333333;651.4;0.0;0.0;0;0.0;0;0.0;0.0;0.0;0.0;0;0;0;0
66;3;1510.574744;0.926333333;622.54;0.0;0.5;0;0.0;1;0.5;0.0;0.0;0.0;0;0;0;0
67;3;1530.666667;0.956666667;646.2;0.0;0.0;0;0.0;0;0.0;0.0;0.0;0.0;0;0;0;0
68;3;1481.772469;0.895;598.1;0.25;0.25;1;0.25;2;0.5;0.0;0.0;0.0;0;0;0;0
69;3;1386.65529;0.8;524.0;0.625;0.0;2;1.25;0;0.0;0.0;0.0;0.0;0;0;0;0
70;3;1507.108077;0.924166667;620.85;0.0;0.5;0;0.0;1;0.5;0.0;0.0;0.0;0;0;0;0
71;3;1507.108077;0.924166667;620.85;0.0;0.5;0;0.0;1;0.5;0.0;0.0;0.0;0;0;0;0
75;3;1576.888889;0.985555556;668.7333333;0.0;0.0;0;0.0;0;0.0;0.0;0.0;0.0;0;0;0;0
76;3;1554.962963;0.971851852;658.0444444;0.0;0.0;0;0.0;0;0.0;0.0;0.0;0.0;0;0;0;0
77;3;1576.888889;0.985555556;668.7333333;0.0;0.0;0;0.0;0;0.0;0.0;0.0;0.0;0;0;0;0
78;3;1494.219947;0.920555556;618.0333333;0.25;0.0;1;0.25;0;0.0;0.0;0.0;0.0;0;0;0;0
79;3;1546.663936;0.950666667;641.52;0.0;0.225;0;0.0;2;0.45;0.0;0.0;0.0;0;0;0;0
81;3;1571.555556;0.982222222;666.1333333;0.0;0.0;0;0.0;0;0.0;0.0;0.0;0.0;0;0;0;0
82;3;1526.872052;0.942444444;635.1066667;0.0;0.333333333;0;0.0;1;0.333333333;0.0;0.0;0.0;0;0;0;0
83;3;1524.441411;0.935;629.3;0.0;0.5;0;0.0;1;0.5;0.2;0.0;0.0;0;0;0;0
86;3;1455.399317;0.862222222;572.5333333;0.0;0.444444444;0;0.0;3;1.333333333;0.0;0.0;0.0;0;0;0;0
87;3;1432.52317;0.835777778;551.9066667;0.261111111;0.5;3;0.783333333;1;0.5;0.333333333;0.0;0.0;0;0;0;0
88;3;1524.441411;0.935;629.3;0.0;0.5;0;0.0;1;0.5;0.0;0.0;;0;0;0;0
89;3;1547.847099;0.939555556;632.8533333;0.0;0.261111111;0;0.0;3;0.783333333;0.0;0.0;0.0;0;0;0;0
90;3;1434.955631;0.853888889;566.0333333;0.25;0.416666667;1;0.25;2;0.833333333;0.0;0.0;0.0;0;0;0;0
93;3;1423.990899;0.836666667;552.6;0.0;0.75;0;0.0;2;1.5;0.0;0.0;0.0;0;0;0;0
94;3;1582.666667;0.989166667;671.55;0.0;0.0;0;0.0;0;0.0;0.0;0.0;0.0;0;0;0;0
95;3;1434.654532;0.825555556;543.9333333;0.0;1.0;0;0.0;2;2.0;0.0;0.0;0.0;0;0;0;-1
96;3;1453.848464;0.802;525.56;0.3;0.3;4;1.2;4;1.2;0.25;0.0;0.0;0;0;0;0
97;3;1489.774744;0.913333333;612.4;0.0;0.5;0;0.0;1;0.5;0.0;0.0;0.0;0;0;0;0
98;3;1565.333333;0.978333333;663.1;0.0;0.0;0;0.0;0;0.0;0.0;0.0;0.0;0;0;0;0
99;3;1507.374744;0.924333333;620.98;0.0;0.5;0;0.0;1;0.5;0.0;0.0;0.0;0;0;0;0
100;3;1562.220705;0.9675;654.65;0.0;0.25;0;0.0;1;0.25;0.2;0.0;0.0;0;0;0;0
102;3;1489.774744;0.913333333;612.4;0.0;0.5;0;0.0;1;0.5;0.0;0.5;0.0;0;0;0;0
103;3;1455.399317;0.862222222;572.5333333;0.0;0.444444444;0;0.0;3;1.333333333;0.0;0.0;0.0;0;0;0;0
104;3;1487.63686;0.885333333;590.56;0.233333333;0.2;3;0.7;1;0.2;0.333333333;0.0;0.0;0;0;0;0
107;3;1562.957907;0.947222222;638.8333333;0.0;0.277777778;0;0.0;3;0.833333333;0.0;0.0;0.0;0;0;0;0
108;3;1375.397801;0.803333333;526.6;0.5;0.416666667;1;0.5;2;0.833333333;0.0;0.0;0.0;0;0;0;0
