wSW;wR;wPt;SW;R;Pt;kSW;kR;claster;SumID;F;id
0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0;1
0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0;2
0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0;3
0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0;4
0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0;5
0.0;1.0;0;0.0;0.0;0;0.0;0.0;-1;1.0;0;6
0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0;7
0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0;8
0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0;9
0.0;0.0;0;0.21164021174603176;0.0;0;0.25;0.0;0;0.46164021174603176;0;10
0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0;11
0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0;12
0.0;0.0;0;0.20634920634920637;0.18292682927721596;0;0.375;0.3333333333333333;0;1.0976093689597557;0;13
0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0;14
0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0;15
0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0;17
0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0;18
0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0;19
0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0;20
0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0;21
0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0;22
0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0;23
0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0;24
0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0;25
0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0;26
0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0;27
0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0;29
0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0;30
0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0;31
