wSW;wR;wPt;SW;R;Pt;kSW;kR;claster;SumID;F;id
0.0;0.0;0;0.0;0.0;0;0;0.0;0;0.0;0;105
0.5;0.0;0;0.0;0.0;0;0;0.0;0;0.5;0;117
0.0;-1.0;0;0.0;0.0;0;0;0.0;-1;-1.0;-1;135
0.0;0.0;0;0.0;0.0;0;0;0.0;0;0.0;0;136
0.0;0.0;0;0.0;0.0;0;0;0.0;0;0.0;0;137
0.0;0.0;0;0.0;0.0;0;0;0.0;0;0.0;0;141
0.583333333;0.75;0;0.0;0.0;0;0;0.0;-1;1.3333333330000001;1;145
0.0;0.0;0;0.0;0.0;0;0;0.0;0;0.0;0;153
0.0;1.0;0;0.0;0.0;0;0;0.0;-1;1.0;1;157
0.0;0.0;0;1.0;0.8170731707227841;0;0;1.0;-1;2.817073170722784;1;160
0.0;0.0;0;0.0;0.0;0;0;0.0;0;0.0;0;163
0.0;0.0;0;0.0;0.0;0;0;0.0;0;0.0;0;174
0.0;0.0;0;0.0;0.0;0;0;0.0;0;0.0;0;202
0.0;0.0;0;0.0;0.0;0;0;0.0;0;0.0;0;203
0.0;0.0;0;0.0;0.0;0;0;0.0;0;0.0;0;204
0.0;1.0;0;0.0;0.0;0;0;0.0;-1;1.0;1;207
0.0;-1.0;0;0.0;0.0;0;0;0.0;-1;-1.0;-1;209
0.0;0.0;0;0.0;0.0;0;0;0.0;0;0.0;0;210
0.0;0.0;0;0.0;0.0;0;0;0.0;0;0.0;0;214
0.0;0.916666667;0;0.0;0.8048780488197502;0;0;0.0;-1;1.7215447158197503;1;215
0.5;0.0;0;0.0;1.0;0;0;0.7333333333333333;-1;2.2333333333333334;1;219
0.0;0.0;0;0.0;0.0;0;0;0.0;0;0.0;0;224
0.0;0.0;0;0.0;0.0;0;0;0.0;0;0.0;0;225
0.0;0.0;0;0.0;0.0;0;0;0.0;0;0.0;0;232
0.0;0.0;0;0.0;0.0;0;0;0.0;0;0.0;0;235
